BFE,SI,FRI,SE,CBD,AE,AR,NAS,CPS,PD,9COH,9UYS,9MPS,9FF,9AIF,6COH,6UYS,6MPS,6FF,6AIF,WFA,Class
0.130455522,-0.384439378,-0.338869387,0.145019334,-0.269746161,-0.21826281,0.209351797,-0.18935635,-0.289869386,-0.391962128,-0.378287911,-0.356097368,0.089299072,-0.166768004,0.382827616,-0.360841226,-0.308535356,0.116184344,-0.230207074,0.386746724,0.18278725,2
0.160886292,-0.247828641,-0.359830936,0.076645468,-0.303224965,-0.243530938,0.215963666,-0.139656627,-0.326511306,-0.391450219,-0.444724259,-0.410324952,0.113542363,-0.157788039,0.479803394,-0.37633699,-0.311774705,0.152197544,-0.226715023,0.473742019,-0.596686302,1
0.164466383,-0.247828641,-0.310920656,0.047928444,-0.253006758,-0.240064552,0.213440296,-0.121906726,-0.322847114,-0.381382679,-0.554667595,-0.520286442,0.052934136,-0.135186777,0.479803394,-0.422824281,-0.35226657,0.170204144,-0.20737443,0.402564051,-0.337168543,1
0.119811744,-0.379029052,-0.341559722,0.149141323,-0.257407987,-0.217134845,0.201985247,-0.197831,-0.288861632,-0.392188642,-0.373611618,-0.352004282,0.084365069,-0.167960138,0.376515478,-0.355234643,-0.304850551,0.109647295,-0.23417283,0.379351385,0.202022936,2
0.150912057,-0.239412578,-0.36298247,0.079263081,-0.291623399,-0.242958927,0.208742592,-0.147037774,-0.326309755,-0.39166547,-0.441509712,-0.407424992,0.109141765,-0.158782594,0.475624936,-0.371071347,-0.308161173,0.146452864,-0.230603945,0.468260768,-0.594600748,1
0.154570918,-0.239412578,-0.312996057,0.04991422,-0.240300281,-0.239416273,0.206163702,-0.128897336,-0.322564943,-0.381376422,-0.553872044,-0.519805877,0.047200024,-0.135684055,0.475624936,-0.418581461,-0.349543949,0.164855649,-0.210837817,0.395516727,-0.329373028,1
0.109167965,-0.373618726,-0.344250056,0.153263311,-0.245069814,-0.21600688,0.194618698,-0.20630565,-0.287853878,-0.392415155,-0.368935325,-0.347911197,0.079431066,-0.169152272,0.37020334,-0.349628059,-0.301165747,0.103110245,-0.238138585,0.371956045,0.221258623,2
0.140937823,-0.230996515,-0.366134005,0.081880695,-0.280021833,-0.242386916,0.201521517,-0.154418921,-0.326108205,-0.39188072,-0.438295165,-0.404525033,0.104741168,-0.159777149,0.471446479,-0.365805705,-0.304547642,0.140708184,-0.234492868,0.462779516,-0.592515195,1
0.144675453,-0.230996515,-0.315071458,0.051899996,-0.227593804,-0.238767994,0.198887108,-0.135887946,-0.322282772,-0.381370164,-0.553076492,-0.519325312,0.041465913,-0.136181332,0.471446479,-0.414338641,-0.346821327,0.159507154,-0.214301204,0.388469403,-0.321577513,1
-0.256131733,-0.001689189,0.255437784,0.777906289,-1.383652407,-0.253795123,1.406386732,0.478835323,1.157165826,-0.212635483,-0.160381465,-0.044023167,0.397251984,0.044753806,0.397930518,-0.175974871,-0.104888066,0.363849642,0.062969443,0.425060963,0.711728769,4
-0.230612068,-1.648562436,0.215190381,2.049464623,-1.356103291,-0.217689396,1.410303049,0.959959571,0.961177907,-0.228080976,-0.165219455,-0.06261605,0.566821668,0.047742799,0.364680664,-0.088133344,-0.018255966,0.630561261,0.060759022,0.464108357,0.605709764,4
-0.27664518,0.052667891,0.283816969,0.851779148,-1.424988357,-0.252579771,1.289511591,0.395295319,1.266639577,-0.212179953,-0.116594545,0.006073328,0.455962176,0.021894878,0.452481615,-0.134444861,-0.069311768,0.416967461,0.022396593,0.472414338,0.805901965,4
-0.24935142,-1.70869387,0.240771618,2.211734586,-1.395524062,-0.21396402,1.293700165,0.909866708,1.057026829,-0.228699196,-0.121768867,-0.013812108,0.637320126,0.025091662,0.416920274,-0.040496703,0.023342885,0.70222053,0.020032506,0.514176256,0.692512655,4
-0.292424754,0.09448103,0.305647111,0.908604425,-1.456785241,-0.251644884,1.199607636,0.331033778,1.350850154,-0.211829545,-0.082912299,0.044609093,0.501123861,0.004311087,0.494443998,-0.102498699,-0.041945385,0.457827322,-0.008813292,0.508840011,0.878342886,4
-0.263766306,-1.75494882,0.260449493,2.336557634,-1.425847732,-0.211098346,1.204005639,0.871333736,1.13075677,-0.22917475,-0.088345337,0.023729385,0.69154971,0.00766771,0.45710459,-0.003853133,0.055342001,0.757343044,-0.011295583,0.552690025,0.75928411,4
-0.308204328,0.136294168,0.327477253,0.965429702,-1.488582126,-0.250709997,1.109703682,0.266772237,1.435060732,-0.211479136,-0.049230053,0.083144859,0.546285547,-0.013272704,0.536406381,-0.070552537,-0.014579002,0.498687183,-0.040023176,0.545265684,0.950783806,4
-0.278181192,-1.801203769,0.280127367,2.461380683,-1.456171402,-0.208232672,1.114311113,0.832800764,1.20448671,-0.229650304,-0.054921807,0.061270879,0.745779293,-0.009756242,0.497288905,0.032790437,0.087341117,0.812465558,-0.042623671,0.591203793,0.826055565,4
-0.260865606,0.010854753,0.261986827,0.794953872,-1.393191472,-0.253514657,1.379415545,0.459556861,1.182428999,-0.212530361,-0.150276791,-0.032462438,0.41080049,0.039478669,0.410519232,-0.166391023,-0.096678151,0.3761076,0.053606477,0.435988665,0.733461045,4
